index,Topic_0,Topic_1,Topic_2,Topic_3,signal,month,net_change
quite,6.7065529596815215e-06,0.002433398637971902,0.0007414598922845573,6.146588610976628e-06,positive,11-2021,2.0
john,6.704952924096336e-06,0.0015907932383062544,0.003058531896078091,0.0003960081879915008,positive,11-2021,2.0
evolve,6.704853046689082e-06,0.0002204349094734594,1.1106543689769829e-05,0.0007778320451899906,positive,11-2021,2.0
competitive,6.7047249652677e-06,0.0015014352300182436,0.00013110171547929883,0.0014814674730215594,positive,11-2021,2.0
several,6.7024756140676166e-06,0.0007901502561010789,0.0015770101039060112,0.0019589381062449134,positive,11-2021,2.0
work,6.702200303139637e-06,0.006124170873394859,0.009947901807273184,0.0015947963991714425,positive,11-2021,2.0
process,6.701103768028765e-06,0.001269946396736211,0.0017718914218579412,0.0005751859208664419,positive,11-2021,2.0
conversion,6.6992981258544464e-06,5.3081526872421196e-06,1.1101345997671209e-05,0.0017177693405977677,positive,11-2021,2.0
vacation,6.6992895774382745e-06,5.304805459741636e-06,0.0015841438322142794,0.0006408807418549742,positive,11-2021,2.0
execute,6.698511018775601e-06,5.27748486540945e-06,0.0021396995889313634,0.001205935255498831,positive,11-2021,2.0
imply,6.6979530092445174e-06,0.0006725067091550116,0.0007890248071712577,6.102569426817559e-06,positive,11-2021,2.0
direction,6.697134730789552e-06,0.0012241750166477679,1.1294506742790867e-05,6.143317565080005e-06,positive,11-2021,2.0
program,6.695782126920926e-06,5.305193473760275e-06,0.001225618716181116,0.0044729599167114475,positive,11-2021,2.0
cetera,6.694978550290692e-06,0.0009648561019015647,1.108281812652585e-05,6.112294989050409e-06,positive,11-2021,2.0
et,6.694978550290692e-06,0.0009648561019015647,1.108281812652585e-05,6.112294989050409e-06,positive,11-2021,2.0
home,6.694645904422025e-06,0.0012642671341597284,1.1475852628377304e-05,7.977958543935813e-05,positive,11-2021,2.0
network,6.694040904386258e-06,5.26374348211586e-06,0.0008723682132432617,0.0005825035259289774,positive,11-2021,2.0
place,6.694028266161093e-06,0.002974962855437733,0.0022674171049609296,0.0013019367302114651,positive,11-2021,2.0
diamond,6.6939868531061276e-06,5.194639084160668e-06,0.0040997693863026085,6.032651782497231e-06,positive,11-2021,2.0
focus,6.693949795491189e-06,0.0014769713084920645,0.0016554550074488192,0.00781895677564482,positive,11-2021,2.0
willing,6.693838775665726e-06,0.0008610001018027988,1.1096473354651962e-05,6.194662377742007e-06,positive,11-2021,2.0
type,6.693817537246948e-06,0.0017511526643259098,0.00026687338048739473,6.173560397516011e-06,positive,11-2021,2.0
happy,6.693663963743908e-06,0.0006021858108392421,0.002361231098478531,0.0003928208105809066,positive,11-2021,2.0
retail,6.6926464702474856e-06,5.275385103274786e-06,1.1045177485933653e-05,0.0024387479624718754,positive,11-2021,2.0
country,6.692555145594286e-06,0.0008407968316268233,0.003910265206644453,0.00013425933372985022,positive,11-2021,2.0
capture,6.692451479237373e-06,0.00037391060072964114,1.1087430674891326e-05,0.0007203178290237292,positive,11-2021,2.0
fill,6.692180513186041e-06,0.0005881311823246981,0.0006936320031853874,6.159818774990686e-06,positive,11-2021,2.0
competitor,6.691971995609446e-06,0.0007024391586702174,0.00012294128168608253,0.0008190184134285197,positive,11-2021,2.0
deploy,6.691051326863437e-06,5.334101101502856e-06,1.1057781960869414e-05,0.000936791922202913,positive,11-2021,2.0
development,6.6910279107320895e-06,5.29752331629841e-06,0.01296929686681502,0.00148745121122539,positive,11-2021,2.0
door,6.688390356099917e-06,5.342180495478551e-06,0.0006133914818346904,0.0006950570833090339,positive,11-2021,2.0
team,6.6876172697679506e-06,5.3160104413699015e-06,0.01647398762019986,0.0031611282880788685,positive,11-2021,2.0
technology,6.687564862942438e-06,0.0005504536680877209,1.1035109873483091e-05,0.004871417600460763,positive,11-2021,2.0
matt,6.686690305144589e-06,0.0007147892821426058,0.00042766757997372444,6.052768550399141e-06,positive,11-2021,2.0
whether,6.684884147460003e-06,0.0025367474716746956,0.0002779402722301141,0.0006224813037717851,positive,11-2021,2.0
strategic,6.683396838397084e-06,5.313257777634673e-06,0.0011508199017771562,0.003763229211140881,positive,11-2021,2.0
mitigate,6.682702597923331e-06,0.0008351938974674527,1.101919165786385e-05,6.086977241680107e-06,positive,11-2021,2.0
franchisees,6.682636975639016e-06,0.001446702245255565,0.00826728273099662,6.116740259070484e-06,positive,11-2021,2.0
casino,6.682372562395105e-06,5.298979270807337e-06,1.1066392378020878e-05,0.007274780293268034,positive,11-2021,2.0
mike,6.6807472316729424e-06,0.0002073004392909616,1.1386050398068672e-05,0.0009731325342768409,positive,11-2021,2.0
great,6.680451548677429e-06,0.009517332002819512,0.005395251479753737,0.006001853298897515,positive,11-2021,2.0
attract,6.679489559079633e-06,5.314262157794514e-06,0.001385341812214437,0.0006302624144397803,positive,11-2021,2.0
side,6.679272154052369e-06,0.005174212318847528,1.1144248908708032e-05,0.0014105731093379563,positive,11-2021,2.0
offering,6.6788683217858216e-06,5.284700069644655e-06,1.1102563857090911e-05,0.004180901995190752,positive,11-2021,2.0
light,6.678459026991689e-06,8.430051258799526e-05,0.0003825118308004718,0.001031226017047989,positive,11-2021,2.0
outside,6.678389744286875e-06,0.0005616272291422131,0.0011322573685330292,0.000696337196581785,positive,11-2021,2.0
press,6.677590940834934e-06,0.00014993961206588179,0.003359334544566512,6.09204885563751e-06,positive,11-2021,2.0
studio,6.6774525457392405e-06,5.231247252668529e-06,0.008406875750723878,6.086001392763897e-06,positive,11-2021,2.0
upon,6.676516610592772e-06,5.3268544596020895e-06,0.0006919328906487646,0.0006818529206150494,positive,11-2021,2.0
together,6.676043714978179e-06,0.0008812026804958575,0.0014967761670203266,0.0009065066650056787,positive,11-2021,2.0
become,6.675888044878239e-06,0.0006311004880546757,0.0018492629489184054,0.0015125092114345864,positive,11-2021,2.0
construction,6.675493347108142e-06,0.0004446873510669139,0.003121666723470312,6.0500831266378775e-06,positive,11-2021,2.0
deal,6.675148886109414e-06,0.0019657946714410597,0.0022682399642150104,0.0004573441461482362,positive,11-2021,2.0
tremendous,6.674795753693106e-06,5.275396614690687e-06,0.0007270729398181477,0.0009929686998718743,positive,11-2021,2.0
la,6.674684065016264e-06,5.259024657196197e-06,0.004917386943211252,6.09438373288169e-06,positive,11-2021,2.0
attractive,6.673746013464663e-06,5.280893498878892e-06,1.1147199819883233e-05,0.0011170460450105164,positive,11-2021,2.0
vega,6.67359228748626e-06,5.270866762604929e-06,0.0041540297650946465,6.107342941329138e-06,positive,11-2021,2.0
customer,6.673517236684266e-06,0.0020867956202450058,1.107244014513283e-05,0.013575847966031857,positive,11-2021,2.0
road,6.672855434408551e-06,0.0005822085228310735,0.0003373086693905248,0.0005697938773858408,positive,11-2021,2.0
alg,6.672176169281099e-06,5.279257016450446e-06,1.1386143024219247e-05,0.0010568424366038606,positive,11-2021,2.0
caesar,6.67203764209572e-06,5.269869351690152e-06,9.677210566121958e-05,0.0009797744926458257,positive,11-2021,2.0
digital,6.670928872691509e-06,5.315257066927505e-06,1.0974529811034425e-05,0.007995726193352867,positive,11-2021,2.0
cause,6.670538077857875e-06,0.0002463124555879249,0.0031023719005637785,6.052276696377814e-06,positive,11-2021,2.0
cross,6.6698207434474964e-06,0.0005002754575579397,1.1264507880379135e-05,0.0008442807803970718,positive,11-2021,2.0
uncertainty,6.6698165661492364e-06,5.207824456689352e-06,0.0035544633490892288,6.085940067596733e-06,positive,11-2021,2.0
invest,6.669574847406027e-06,5.313867201969223e-06,0.0005068109690145417,0.004718795038485629,positive,11-2021,2.0
frame,6.669128163823814e-06,0.0010167854524401109,1.1022704929764173e-05,6.123139937719258e-06,positive,11-2021,2.0
hospitality,6.667051476862091e-06,0.00013948640055649574,0.0012074620934308666,0.0008132354671400388,positive,11-2021,2.0
house,6.666813784272345e-06,5.358038244018133e-06,0.0003361293029805005,0.000847809268598077,positive,11-2021,2.0
sit,6.665686266278427e-06,0.000991988382686913,1.1127370796332288e-05,0.0002750786945472827,positive,11-2021,2.0
pipeline,6.665204106321761e-06,5.309082990152856e-06,0.005369126362203163,0.0012590530258323079,positive,11-2021,2.0
social,6.6651661625555715e-06,8.621866194321051e-05,1.1053833770257269e-05,0.0013237760376213605,positive,11-2021,2.0
comfortable,6.664943709942381e-06,0.0009378866068769246,1.1013416581165274e-05,0.00033777857402207255,positive,11-2021,2.0
owner,6.6641425331167934e-06,5.298477646238793e-06,0.00491719506931326,6.164085097032049e-06,positive,11-2021,2.0
soon,6.6640682108477605e-06,0.0002352336187495008,0.0008598320445467493,0.0002931518680797174,positive,11-2021,2.0
ensure,6.664055487729775e-06,5.294602830467832e-06,0.0012036775470417277,0.0010307592909237855,positive,11-2021,2.0
york,6.663304916878206e-06,5.316808566280806e-06,0.0007440148811668301,0.0020349153581698575,positive,11-2021,2.0
test,6.663273411121133e-06,0.0013075640230722572,1.1112212188491927e-05,0.0008709359051502876,positive,11-2021,2.0
value,6.66248996248755e-06,0.0023246040827061914,1.1092163214094402e-05,0.006572090123064956,positive,11-2021,2.0
efficient,6.661257051272711e-06,5.283403868898485e-06,1.0966271062836183e-05,0.001357455486146759,positive,11-2021,2.0
whole,6.6611306003816134e-06,0.0012540384752580992,0.00015220696146140715,0.0002544214590229622,positive,11-2021,2.0
hub,6.660798657212611e-06,5.2250009370635455e-06,1.0963337876344387e-05,0.0015377510483979822,positive,11-2021,2.0
could,6.660564724909406e-06,0.010177296097390924,0.005022871919080302,6.135430822656718e-06,positive,11-2021,2.0
feel,6.660368166745421e-06,0.004449636863828504,1.1068060255877593e-05,0.0006575152885402968,positive,11-2021,2.0
globally,6.660328526723532e-06,5.204925149516796e-06,0.0006061134075509825,0.0006391761046357694,positive,11-2021,2.0
serve,6.659524837941621e-06,5.323632544144307e-05,0.000921780857277664,0.0014910146812375654,positive,11-2021,2.0
navigate,6.659344355773946e-06,0.0003549319606354414,0.0010200878807488788,6.210953722542927e-06,positive,11-2021,2.0
buyer,6.658863275279985e-06,5.275885236409845e-06,0.0017551305589144411,6.072663424941268e-06,positive,11-2021,2.0
scale,6.658720755601889e-06,0.00018834782468249,1.1080724287117828e-05,0.0029176730750223936,positive,11-2021,2.0
news,6.657044719459641e-06,0.0009630741842036366,0.0004577095484288006,0.00024275456616473635,positive,11-2021,2.0
every,6.656871097041484e-06,0.0015477274018620378,0.003144340835744927,0.0010895035062538903,positive,11-2021,2.0
access,6.656642607498397e-06,5.238580008088352e-06,0.0013955542487751643,0.0021867025878008124,positive,11-2021,2.0
visibility,6.655803129677421e-06,0.0006331902004225965,0.0013127242691961841,9.355486450569841e-05,positive,11-2021,2.0
board,6.6555385598004545e-06,0.0008472793680602063,0.0011751234048728452,0.0007325174212625394,positive,11-2021,2.0
breakfast,6.655311833966124e-06,0.0010561661734772945,8.931742056443741e-05,0.0006683494706093307,positive,11-2021,2.0
buy,6.6553112784526325e-06,0.0013590758065997754,1.0982874499088977e-05,0.0003307741881741924,positive,11-2021,2.0
color,6.655244777223784e-06,0.0026513278302310447,1.1083828665127176e-05,6.080183035306136e-06,positive,11-2021,2.0
integration,6.6550559207866905e-06,5.275756535811251e-06,0.00011757594766751628,0.0010283971945033064,positive,11-2021,2.0
form,6.654215615743176e-06,0.00022709197352274003,0.0023050852401596514,7.707572375266052e-05,positive,11-2021,2.0
peer,6.654095219453542e-06,0.0006459473049670897,1.1150739569271303e-05,0.000645668416048241,positive,11-2021,2.0
introduce,6.653819179591976e-06,5.323542648029105e-06,0.0009247856273193087,0.0010942708384389227,positive,11-2021,2.0
best,6.653027764434881e-06,0.0014508154974863794,0.002651890571394835,0.0023140645053308377,positive,11-2021,2.0
employee,6.652971097020518e-06,5.298005749763245e-06,0.006225864847258224,6.099213941757256e-06,positive,11-2021,2.0
success,6.652041425003928e-06,5.324839633567453e-06,0.002128488585672261,0.002683944412537786,positive,11-2021,2.0
talent,6.652019163137329e-06,5.326027051705781e-06,0.0011738684331964809,0.0005965917716714116,positive,11-2021,2.0
excite,6.651765792694807e-06,5.328877661880231e-06,0.003947099467704194,0.003484280322080823,positive,11-2021,2.0
mind,6.651559609030183e-06,0.001149427290562593,0.00022286918924386168,6.200228595392488e-06,positive,11-2021,2.0
incredible,6.651469860169146e-06,5.338137082447102e-06,0.0011330676421778757,0.0009494706114082464,positive,11-2021,2.0
engagement,6.65089692505449e-06,5.265817355001254e-06,1.1126210742702113e-05,0.0011471336743559568,positive,11-2021,2.0
everybody,6.65063632504129e-06,0.00099150365588416,0.0010456215127853448,6.1012029084920864e-06,positive,11-2021,2.0
refer,6.650582019644441e-06,5.23992024849675e-06,0.0032818859800866356,6.0479389445139575e-06,positive,11-2021,2.0
big,6.650158363308397e-06,0.005757312288860634,1.1172655093672175e-05,0.0014564028759452314,positive,11-2021,2.0
handle,6.649735155952217e-06,0.000653736628921347,1.1053381939217879e-05,0.001327573937241167,positive,11-2021,2.0
medium,6.649073219514544e-06,0.0005562394631167375,0.00024294215049008153,0.0015830375178210628,positive,11-2021,2.0
economics,6.648731195590868e-06,0.00037631897509746956,0.0009524576959201055,0.0004092084905539087,positive,11-2021,2.0
real,6.648453452382923e-06,0.0011428731153400274,0.002537380595606735,0.0011416803984613565,positive,11-2021,2.0
kitchen,6.6480520646916e-06,0.0006988808678686481,0.0014967406814805266,6.242154427705316e-06,positive,11-2021,2.0
job,6.646837696546853e-06,0.0006650741806560286,0.002113214094977018,6.128724221529794e-06,positive,11-2021,2.0
innovation,6.646497624331368e-06,5.297590836391708e-06,0.000301236974645595,0.0024591164906037155,positive,11-2021,2.0
partner,6.646029656089101e-06,5.2981845595410075e-06,0.005408483621770794,0.0014476638834429213,positive,11-2021,2.0
actually,6.645415226035984e-06,0.006114161872576051,0.00015430493466480323,0.0003336181672444539,positive,11-2021,2.0
proud,6.6453797634481316e-06,5.26276319274269e-06,0.0026912077480114945,0.0009321988855079101,positive,11-2021,2.0
priority,6.644856725230323e-06,0.00022722522149275985,9.051489126539124e-05,0.0017475576726534955,positive,11-2021,2.0
ultimately,6.64469929570219e-06,0.0009432666327586585,1.1180479154319718e-05,0.0010523800107760386,positive,11-2021,2.0
estate,6.644475848468431e-06,5.293532277052683e-06,0.0026817924136939312,6.184037581779112e-06,positive,11-2021,2.0
hopefully,6.642621995568921e-06,0.0009908527266382998,1.1085204896610859e-05,6.099025148501873e-06,positive,11-2021,2.0
gaming,6.642299153537356e-06,5.252839745667331e-06,1.11225127291603e-05,0.003940660223819907,positive,11-2021,2.0
thought,6.642193610044464e-06,0.0023400215764189723,1.1005638072163046e-05,6.09872946239206e-06,positive,11-2021,2.0
land,6.641983772827001e-06,0.0006627504728217521,1.1191198636026406e-05,0.0013170693287305531,positive,11-2021,2.0
space,6.641965092404309e-06,0.0006450960972458325,0.0016646806166847718,0.0015079150143918947,positive,11-2021,2.0
contain,6.6408918231699105e-06,5.194395983386621e-06,0.0018644781715013278,6.016429070518226e-06,positive,11-2021,2.0
building,6.6405863773001246e-06,0.00044504582719810546,0.00034084962435684525,0.0006966353567605678,positive,11-2021,2.0
way,6.6400299624033825e-06,0.007355028499190281,0.0010721829237342912,0.0032874627696184737,positive,11-2021,2.0
center,6.639586417623627e-06,5.265574708111271e-06,0.0019187650918303248,0.0005467425615337482,positive,11-2021,2.0
nevada,6.638700142021698e-06,5.279385720043651e-06,1.09758190306541e-05,0.0009369484471711947,positive,11-2021,2.0
presentation,6.638336555581433e-06,5.295346904392341e-06,0.001860504685960515,0.00015827924881422128,positive,11-2021,2.0
open,6.638070133151188e-06,5.301197275966801e-06,0.027925684406663532,6.114697779273513e-06,positive,11-2021,2.0
possible,6.63794545717762e-06,0.0006457132224472701,0.0014993870951565743,6.273072982994341e-06,positive,11-2021,2.0
keep,6.637236493227944e-06,0.003317507952991358,1.1147193152418061e-05,0.0004062590965927553,positive,11-2021,2.0
opportunity,6.637158670600885e-06,0.0037429507293166133,0.0025638240169620617,0.009140696508786432,positive,11-2021,2.0
welcome,6.63668572413726e-06,5.268784525008652e-06,0.0032274858854978105,0.00018618591570760803,positive,11-2021,2.0
always,6.635917192821463e-06,0.0033412507667782017,0.001070061372533708,0.0007565942543495872,positive,11-2021,2.0
remember,6.634817703093356e-06,0.0008446918201513443,0.0004817006720394212,6.163191363614607e-06,positive,11-2021,2.0
successful,6.634721838060317e-06,5.284554897301895e-06,0.0010264389366509015,0.0016390831462208808,positive,11-2021,2.0
brian,6.634578451644989e-06,0.0007896555641622867,0.001251706919281818,6.117613191972412e-06,positive,11-2021,2.0
discussion,6.63438866458022e-06,0.0003678577136065475,0.003392085258464682,6.132313485619141e-06,positive,11-2021,2.0
evaluate,6.634348960165409e-06,0.00034260661198874643,0.00085486279035939,0.0010126598074732046,positive,11-2021,2.0
flexible,6.634339237108204e-06,5.31349859189397e-06,0.0016666127596674876,0.00017496891537280117,positive,11-2021,2.0
huge,6.63425737166271e-06,0.000776440566522971,0.00042349609665383195,0.0004776998973312991,positive,11-2021,2.0
sense,6.633962676468152e-06,0.002469789944500918,1.0970798380400477e-05,6.0741949152857615e-06,positive,11-2021,2.0
client,6.6331392571304165e-06,5.309467625894423e-06,1.1058276482068697e-05,0.0014475133704914794,positive,11-2021,2.0
game,6.632723458629521e-06,5.2620918791982886e-06,1.0986234053118554e-05,0.007695439827621474,positive,11-2021,2.0
manager,6.632647842529687e-06,0.00014480310338610698,0.0022252964640047043,6.059675133596818e-06,positive,11-2021,2.0
understand,6.632342253478793e-06,0.0023829843613354658,0.0003568150967013746,6.153562365540842e-06,positive,11-2021,2.0
launch,6.632017227039953e-06,5.264958070982683e-06,1.1017798995653756e-05,0.0076353444639623335,positive,11-2021,2.0
reference,6.6316256964198744e-06,0.0006439607185973581,0.001339838976045621,6.093976616035408e-06,positive,11-2021,2.0
pursue,6.6305549939857865e-06,4.69210189287506e-05,1.0997934306954213e-05,0.0010989966284237966,positive,11-2021,2.0
stk,6.6271836505607075e-06,5.244531300635116e-06,0.0020824641510308996,6.0275725420829375e-06,positive,11-2021,2.0
loyalty,6.627000195410192e-06,5.293821025818718e-06,1.0961795996577677e-05,0.003219811715793887,positive,11-2021,2.0
betmgm,6.626780224883115e-06,0.0001091302148910298,1.1068382740394118e-05,0.0008467125727723166,positive,11-2021,2.0
directly,6.626199084619213e-06,5.3485834372894005e-06,0.001859352226781028,0.0003390895766898611,positive,11-2021,2.0
quality,6.625368967744572e-06,5.347113755719898e-06,0.0013745555950719322,0.0020780237039062983,positive,11-2021,2.0
dutch,6.625304614854259e-06,5.21368248070449e-06,0.002300308016625518,6.19991861009217e-06,positive,11-2021,2.0
chris,6.62496566322287e-06,0.0008919263670529254,0.0014185301176946367,6.078683361784754e-06,positive,11-2021,2.0
yes,6.624847971206354e-06,0.015805393575157263,1.1039460628331368e-05,6.08108448702447e-06,positive,11-2021,2.0
dan,6.624590276359408e-06,0.0004844825510276725,0.0009662058779368751,6.090995267901527e-06,positive,11-2021,2.0
busy,6.6243196070872545e-06,0.00048658723994861997,0.0007980767595373482,6.168168517575061e-06,positive,11-2021,2.0
easy,6.623243836620777e-06,0.0006614355326449897,0.0019570269274748584,6.2975268296270865e-06,positive,11-2021,2.0
critical,6.623135615323252e-06,5.322704621710692e-06,0.0007838256786758957,0.0009016194942106957,positive,11-2021,2.0
create,6.622986567730932e-06,0.0003374389187921426,0.0010773923731906391,0.0028785409626831886,positive,11-2021,2.0
identify,6.622802331178752e-06,5.301714933611154e-05,0.0013025944527946247,0.0004704856768438615,positive,11-2021,2.0
engage,6.62263369129744e-06,9.466366398999185e-05,1.1309134861057536e-05,0.0013138971868813648,positive,11-2021,2.0
section,6.622358833418196e-06,5.214501591599029e-06,0.0025732168663497724,6.037537750568444e-06,positive,11-2021,2.0
conversation,6.622069762209077e-06,0.000904337002390191,0.0003563698933391325,6.168477710865161e-06,positive,11-2021,2.0
user,6.621427563080135e-06,5.26893221442263e-06,1.0941131114590242e-05,0.0015978238402132362,positive,11-2021,2.0
private,6.620817656140791e-06,5.2549082668893715e-06,0.0018643446292747976,6.038357068032515e-06,positive,11-2021,2.0
footprint,6.620734062755475e-06,5.268390489848614e-06,1.1123682850739523e-05,0.001717875137652735,positive,11-2021,2.0
nice,6.6206762751606995e-06,0.0015875920875511615,1.101622256583302e-05,6.147191760682633e-06,positive,11-2021,2.0
simple,6.6206530319234865e-06,0.0004835123793685498,0.0003644542152023642,0.0002786627433187897,positive,11-2021,2.0
capability,6.620604506698905e-06,5.2812150193785135e-06,1.0969691827059327e-05,0.0022886606271554834,positive,11-2021,2.0
various,6.619876469673307e-06,0.0005781345293546492,0.0014233957252012765,6.24395136742085e-06,positive,11-2021,2.0
reconciliation,6.619495462114704e-06,5.190588341485222e-06,0.0029549775430036014,6.009791884155935e-06,positive,11-2021,2.0
doughnut,6.618872296537106e-06,5.26264846795237e-06,1.0944637063807993e-05,0.0010571537985985912,positive,11-2021,2.0
pick,6.618441167107223e-06,0.001068725529316403,1.1080010268182864e-05,6.079660683136104e-06,positive,11-2021,2.0
sure,6.617614055016518e-06,0.0066550161373931235,0.0017930528329202164,6.14714346560243e-06,positive,11-2021,2.0
sport,6.6164668616255915e-06,5.2374367935256915e-06,1.0992451561101805e-05,0.007485216297856362,positive,11-2021,2.0
kind,6.615296059344957e-06,0.016557806783510588,1.1017416864017761e-05,6.086284568132831e-06,positive,11-2021,2.0
sorry,6.614975824802521e-06,0.0011654992473223483,8.038077702020711e-05,6.051623297058264e-06,positive,11-2021,2.0
basically,6.614964652064657e-06,0.0009649501584589564,1.1071915746237322e-05,6.082805460288685e-06,positive,11-2021,2.0
leading,6.614890533339582e-06,5.2744670625816815e-06,1.1025155018817729e-05,0.0013574759249374538,positive,11-2021,2.0
frequency,6.6146735252834434e-06,5.457972340442365e-06,1.1047124623511192e-05,0.0010268373990718455,positive,11-2021,2.0
afternoon,6.614615447933188e-06,5.207621926257535e-06,0.0025187265863216876,6.035028682118803e-06,positive,11-2021,2.0
probably,6.614533595603164e-06,0.005245858844581589,1.1043885447979546e-05,6.082236286025055e-06,positive,11-2021,2.0
happen,6.614496751246034e-06,0.003222177256392307,1.104744731419665e-05,6.064098666341851e-06,positive,11-2021,2.0
enhance,6.613455850971516e-06,5.226682311434816e-06,1.1085738940186531e-05,0.002468892296488928,positive,11-2021,2.0
necessarily,6.613109159228946e-06,0.0008871386888060571,1.0983307912943423e-05,6.106723258643992e-06,positive,11-2021,2.0
obviously,6.6127281211537255e-06,0.008125698417402535,1.1057146032156729e-05,6.117014148974222e-06,positive,11-2021,2.0
play,6.612335785654598e-06,0.0015909259007698955,0.00023376417697788476,0.0022525521067752823,positive,11-2021,2.0
organization,6.612231144343043e-06,0.0002171600692177497,0.0014540780951944076,0.0007376802005554024,positive,11-2021,2.0
exactly,6.612151365505696e-06,0.0007106228485755666,1.1243139773251848e-05,0.0003004389069968745,positive,11-2021,2.0
option,6.611944292726663e-06,0.0002883898224509354,1.1105236369852527e-05,0.0014802220244484546,positive,11-2021,2.0
little,6.611542427498188e-06,0.013418479285794795,1.1015474566141344e-05,6.096417319362833e-06,positive,11-2021,2.0
life,6.611504457402788e-06,5.270795702727225e-06,0.0014213074292457187,0.0003402218684758384,positive,11-2021,2.0
geography,6.6110049403317265e-06,0.0005690806804033381,1.1155384747595195e-05,0.00055447193304724,positive,11-2021,2.0
igaming,6.610929925157889e-06,5.244143827297572e-06,1.0938143955639292e-05,0.004090988898607017,positive,11-2021,2.0
site,6.610794400475987e-06,5.283495818732824e-06,0.0029933690867533867,0.0004052864592144977,positive,11-2021,2.0
certainly,6.610602662083474e-06,0.004882600872718771,1.1059138386600079e-05,6.112818136166756e-06,positive,11-2021,2.0
tool,6.610537437572928e-06,7.82760500160507e-05,0.0006153910961200002,0.0007297381626870602,positive,11-2021,2.0
pretty,6.610413885134323e-06,0.0056350413279965695,1.1039463935881483e-05,6.076578757793383e-06,positive,11-2021,2.0
sound,6.609939734666954e-06,0.001146601475293057,1.1036253567166678e-05,6.063518885385872e-06,positive,11-2021,2.0
wingstop,6.609879290434592e-06,0.00029700997806507586,0.00048726501394649117,0.0003368235493517347,positive,11-2021,2.0
others,6.609770700103305e-06,0.0014619857137972547,0.0011471163877430554,6.274266439372782e-06,positive,11-2021,2.0
hard,6.609720997504958e-06,0.00204491622949246,0.0033027062657933204,6.1509457892472445e-06,positive,11-2021,2.0
matter,6.60954631941609e-06,0.00039479277369493606,0.0006329039693771806,0.0002334924337875033,positive,11-2021,2.0
data,6.608474899950395e-06,0.001539000097539936,1.110001952733798e-05,0.0008733862667730252,positive,11-2021,2.0
hot,6.608149445253537e-06,5.382338076714442e-06,0.0002414171224806255,0.0008399389835314505,positive,11-2021,2.0
ready,6.608070748313461e-06,0.0008562111057346613,0.001166350312629718,6.149910434952384e-06,positive,11-2021,2.0
solution,6.607571393395781e-06,5.260480529458267e-06,1.1028322125651316e-05,0.001027082919221072,positive,11-2021,2.0
materially,6.607020058566969e-06,5.247190795450995e-06,0.0037180554293761185,6.083905189600362e-06,positive,11-2021,2.0
speed,6.606117316389303e-06,0.0002778792913873675,0.00018552303197597665,0.0005852881819962475,positive,11-2021,2.0
power,6.605581573407053e-06,0.0008345551730426802,1.1110682423933311e-05,0.0006376374853730128,positive,11-2021,2.0
kona,6.605490679684024e-06,5.226667570818137e-06,0.0021915526852161254,6.043822301322887e-06,positive,11-2021,2.0
okay,6.604627358570932e-06,0.00568698368343743,1.0966143918949733e-05,6.061238287655679e-06,positive,11-2021,2.0
live,6.604613072282042e-06,0.00014785102480913994,0.0006701508018988279,0.002781735466638482,positive,11-2021,2.0
app,6.602573603133597e-06,5.284708831883149e-06,1.097472043450628e-05,0.0038806658875858123,positive,11-2021,2.0
frankly,6.602293900081538e-06,0.0013021264568106098,1.1222267648422412e-05,6.134664624113211e-06,positive,11-2021,2.0
away,6.602096199301801e-06,0.001458316592495783,0.00022819269933304744,6.147478583155731e-06,positive,11-2021,2.0
people,6.601466435288406e-06,0.00734255948298051,0.008090306752887489,6.187497590947705e-06,positive,11-2021,2.0
lot,6.601251064036831e-06,0.013288659845301863,1.1101891215601413e-05,6.168656821076554e-06,positive,11-2021,2.0
generally,6.6010216380344555e-06,0.001391413384794679,1.1362986752060001e-05,5.287447942909015e-05,positive,11-2021,2.0
competition,6.60078399846655e-06,0.0002978131394741798,1.1065063041688093e-05,0.0006583279403738136,positive,11-2021,2.0
fresh,6.600541814554961e-06,5.249199209208859e-06,1.0972481278638576e-05,0.0019282627411986635,positive,11-2021,2.0
tom,6.6004251454339295e-06,0.00043646148528728455,0.0012852127116173076,6.111296057240954e-06,positive,11-2021,2.0
unique,6.600211744805086e-06,5.2865173536544345e-06,1.1056077632167239e-05,0.0023487009061286934,positive,11-2021,2.0
answer,6.600066101399491e-06,0.002007972526078636,0.002180970740728784,6.095591645814636e-06,positive,11-2021,2.0
super,6.599463650506692e-06,0.0006549825403057037,0.00022264836090014014,0.000548776231184748,positive,11-2021,2.0
piece,6.599072470999187e-06,0.0017355174415780413,1.115426451697851e-05,0.0006458467353830627,positive,11-2021,2.0
exciting,6.598545627070168e-06,5.3025452792528996e-06,0.0004041266626983435,0.0013211147502497692,positive,11-2021,2.0
safe,6.598433735549526e-06,5.265293447136148e-06,0.0022458535722792764,6.127495132455783e-06,positive,11-2021,2.0
love,6.5981381226516584e-06,0.0009638970503441154,0.0003458683781435195,0.0004836979688543209,positive,11-2021,2.0
platform,6.597769388282749e-06,5.263694237309009e-06,1.1065767067352006e-05,0.00511218818066859,positive,11-2021,2.0
excited,6.596978227837184e-06,5.243727861312565e-06,0.0008778125006129355,0.0012404446762717693,positive,11-2021,2.0
hear,6.596549156894371e-06,0.003299954309447549,1.1075628451880193e-05,6.1314830674974414e-06,positive,11-2021,2.0
